iter	Passed	Remaining
400	15321	557801
401	15359	557769
402	15397	557723
403	15441	557872
404	15482	557957
405	15530	558255
406	15590	559007
407	15641	559418
408	15688	559668
409	15739	560079
410	15776	560002
411	15812	559879
412	15849	559788
413	15886	559702
414	15937	560100
415	15975	560057
416	16013	560016
417	16052	559984
418	16100	560287
419	16138	560246
420	16178	560235
421	16216	560197
422	16254	560143
423	16292	560092
424	16330	560053
425	16368	559989
426	16408	560014
427	16447	559985
428	16486	559953
429	16542	560529
430	16581	560517
431	16697	563060
432	16742	563260
433	16776	563072
434	16814	562992
435	16851	562915
436	16889	562834
437	16928	562815
438	16967	562780
439	17005	562721
440	17043	562672
441	17084	562700
442	17121	562612
443	17161	562623
444	17200	562588
445	17245	562770
446	17285	562750
447	17341	563298
448	17381	563279
449	17420	563276
450	17460	563263
451	17499	563229
452	17537	563163
453	17575	563127
454	17616	563147
455	17654	563069
456	17692	563023
457	17729	562932
458	17768	562895
459	17805	562811
460	17846	562840
461	17885	562804
462	17924	562775
463	17963	562743
464	18000	562672
465	18039	562635
466	18079	562643
467	18117	562583
468	18155	562526
469	18193	562444
470	18230	562364
471	18270	562360
472	18311	562380
473	18348	562301
474	18386	562231
475	18425	562206
476	18464	562168
477	18505	562204
478	18545	562204
479	18587	562267
480	18631	562398
481	18672	562435
482	18711	562379
483	18751	562386
484	18794	562487
485	18832	562403
486	18869	562341
487	18907	562266
488	18944	562186
489	18983	562156
490	19022	562112
491	19062	562107
492	19099	562014
493	19138	561999
494	19182	562098
495	19250	562908
496	19295	563069
497	19340	563192
498	19386	563388
499	19434	563606
500	19496	564244
501	19554	564741
502	19638	565988
503	19705	566755
504	19746	566777
505	19783	566671
506	19822	566633
507	19861	566593
508	19899	566526
509	19941	566566
510	19981	566553
511	20043	567160
512	20081	567087
513	20118	567004
514	20159	566996
515	20219	567568
516	20289	568384
517	20327	568307
518	20364	568212
519	20406	568233
520	20445	568190
521	20486	568197
522	20532	568365
523	20604	569228
524	20661	569660
525	20702	569673
526	20741	569623
527	20784	569671
528	20821	569584
529	20859	569507
530	20899	569478
531	20937	569417
532	20982	569532
533	21025	569567
534	21062	569483
535	21104	569497
536	21143	569447
537	21188	569569
538	21230	569604
539	21282	569909
540	21324	569921
541	21387	570517
542	21446	570989
543	21492	571125
544	21530	571060
545	21573	571112
546	21629	571496
547	21667	571409
548	21706	571376
549	21744	571291
550	21782	571210
551	21821	571148
552	21861	571138
553	21933	571935
554	21979	572072
555	22035	572439
556	22077	572461
557	22118	572456
558	22156	572379
559	22195	572318
560	22244	572520
561	22283	572472
562	22324	572455
563	22362	572376
564	22400	572303
565	22444	572363
566	22487	572412
567	22525	572337
568	22567	572351
569	22605	572282
570	22644	572208
571	22682	572137
572	22720	572052
573	22757	571948
574	22796	571906
575	22837	571896
576	22876	571830
577	22913	571736
578	22952	571677
579	22990	571603
580	23031	571596
581	23089	571994
582	23133	572059
583	23169	571937
584	23206	571830
585	23244	571749
586	23284	571731
587	23325	571700
588	23363	571630
589	23427	572188
590	23466	572136
591	23506	572107
592	23548	572107
593	23585	572008
594	23662	572859
595	23701	572807
596	23739	572723
597	23777	572655
598	23816	572594
599	23854	572511
600	23892	572417
601	23932	572386
602	23971	572325
603	24009	572243
604	24047	572175
605	24084	572072
606	24122	571979
607	24165	572013
608	24205	571990
609	24243	571898
610	24283	571869
611	24321	571797
612	24359	571709
613	24400	571698
614	24440	571673
615	24479	571615
616	24520	571601
617	24560	571557
618	24598	571482
619	24640	571493
620	24694	571801
621	24732	571711
622	24784	571949
623	24831	572074
624	24872	572067
625	24911	572003
626	24949	571925
627	24987	571842
628	25025	571774
629	25066	571745
630	25105	571698
