iter	RMSE
193	28648.64467
194	28641.99575
195	28637.31673
196	28634.17661
197	28630.88276
198	28622.58364
199	28612.0665
200	28602.05965
201	28588.84349
202	28582.64423
203	28576.11808
204	28571.5859
205	28566.4286
206	28550.43708
207	28546.66298
208	28539.25946
209	28536.73235
210	28532.96359
211	28528.24677
212	28522.92582
213	28518.51955
214	28512.50695
215	28508.09779
216	28503.36542
217	28500.29423
218	28496.28815
219	28491.52732
220	28488.17464
221	28479.79434
222	28475.31734
223	28472.25087
224	28466.30517
225	28462.92018
226	28460.39131
227	28453.50535
228	28447.74677
229	28440.92059
230	28438.94686
231	28436.76762
232	28429.00471
233	28425.02776
234	28420.5067
235	28416.33238
236	28411.342
237	28408.89311
238	28406.06216
239	28401.52101
240	28397.28922
241	28391.64355
242	28389.07667
243	28383.01615
244	28378.0288
245	28372.56109
246	28368.17272
247	28364.19097
248	28360.24511
249	28357.43317
250	28354.83534
251	28349.73203
252	28344.3903
253	28338.76342
254	28332.82777
255	28328.80072
256	28325.80627
257	28320.05046
258	28316.27064
259	28311.84448
260	28309.07224
261	28305.68544
262	28301.71888
263	28299.11438
264	28294.2837
265	28289.70871
266	28287.81341
267	28283.12858
268	28279.67328
269	28277.3884
270	28274.2016
271	28271.38345
272	28266.02231
273	28260.83974
274	28258.31998
275	28255.28999
276	28252.22351
277	28249.69272
278	28245.61976
279	28243.23934
280	28238.41878
281	28233.84023
282	28229.26655
283	28226.36655
284	28221.8024
285	28219.11816
286	28216.71786
287	28214.35544
288	28210.31068
289	28207.78799
290	28203.02541
291	28201.15639
292	28198.74895
293	28195.37358
294	28191.33951
295	28189.48337
296	28185.32914
297	28181.42627
298	28178.80121
299	28175.24031
300	28172.75082
301	28170.19888
302	28167.16522
303	28161.83652
304	28158.97079
305	28155.57513
306	28152.94683
307	28151.16868
308	28147.54335
309	28145.54429
310	28142.61997
311	28138.18803
312	28134.65941
313	28132.2837
314	28129.38706
315	28124.49185
316	28122.18303
317	28119.42
318	28117.23911
319	28113.34587
320	28109.5293
321	28106.92164
322	28100.0615
323	28098.19023
324	28095.63893
325	28090.39165
326	28088.38113
327	28085.97894
328	28080.93781
329	28078.88777
330	28075.1083
331	28070.14
332	28067.21379
333	28063.06245
334	28060.49
335	28058.4338
336	28052.38236
337	28047.79655
338	28044.31353
339	28041.98665
340	28037.57439
341	28033.84635
342	28030.10316
343	28026.96323
344	28023.82338
345	28022.02109
346	28018.71437
347	28014.74577
348	28012.08757
349	28009.19997
350	28006.96907
351	28004.05219
352	28001.59158
353	27997.41383
354	27993.36104
355	27988.65784
356	27984.8204
357	27981.24605
358	27978.34881
359	27975.85415
360	27973.92188
361	27969.18157
362	27965.26749
363	27962.38387
364	27958.05269
365	27952.80338
366	27949.09159
367	27946.354
368	27943.26904
369	27940.2718
370	27936.43406
371	27933.08566
372	27930.22819
373	27925.28313
374	27923.25101
375	27919.84144
376	27915.92531
377	27913.12333
378	27906.90448
379	27902.55312
380	27899.63604
381	27895.57229
382	27893.36544
383	27891.09881
384	27886.20486
385	27881.80305
386	27877.1753
387	27874.28987
388	27871.20989
389	27868.79294
390	27866.13246
391	27863.29131
392	27859.11955
393	27856.2841
394	27851.68488
395	27848.22851
396	27846.12452
397	27843.70488
398	27839.24024
399	27836.33227
400	27830.63171
401	27825.79484
402	27822.57583
403	27818.7643
404	27816.54545
405	27813.26636
406	27806.75917
407	27803.72642
408	27800.62864
409	27797.75042
410	27795.65622
411	27791.18291
412	27788.46738
413	27785.00032
414	27780.49465
415	27778.47666
416	27775.54565
417	27771.07212
418	27767.45229
419	27764.5872
420	27762.62231
421	27759.57177
422	27754.89116
423	27752.06569
424	27749.99466
425	27747.62772
426	27744.33789
427	27740.89426
428	27737.89802
429	27735.08111
430	27731.21428
431	27728.10211
432	27723.69488
433	27720.98306
434	27717.52472
435	27715.26054
436	27712.13588
437	27709.04189
438	27706.95533
439	27704.69111
440	27702.55282
441	27699.86984
442	27695.4044
443	27693.10286
444	27690.81002
445	27688.62876
446	27685.86709
447	27682.78874
448	27679.60089
449	27674.70584
450	27672.69662
451	27669.48129
452	27665.37858
453	27661.83963
454	27659.26772
455	27655.73544
456	27652.2743
457	27649.21508
458	27645.53526
459	27642.27495
460	27639.37342
461	27636.59433
462	27632.97082
463	27630.03462
464	27626.57625
465	27623.91173
466	27620.41129
467	27617.54007
468	27613.11758
469	27608.68248
470	27606.5498
471	27603.13314
472	27599.65508
473	27597.01674
474	27594.06915
475	27592.18661
476	27589.53599
477	27587.85892
478	27584.95387
479	27581.68647
480	27578.25007
481	27575.38732
482	27572.74572
483	27569.90872
484	27567.41022
485	27565.2077
486	27563.40862
487	27559.71125
488	27556.32681
489	27552.18263
490	27549.5646
491	27546.03999
492	27543.39708
493	27540.15933
494	27537.46324
495	27533.55395
496	27530.74109
497	27527.89708
498	27523.66848
499	27520.58677
500	27517.40738
501	27514.8052
502	27512.33158
503	27509.65788
504	27505.4039
505	27503.57775
506	27501.01223
507	27498.89883
508	27496.04862
509	27491.72065
510	27488.28716
511	27484.94189
512	27480.7119
513	27476.93013
514	27473.34666
515	27470.80256
516	27467.61474
517	27464.30079
518	27460.71668
519	27457.98589
520	27455.2827
521	27452.28499
522	27449.16296
523	27446.32079
524	27444.17154
525	27440.8278
526	27438.21091
527	27436.19722
528	27432.0327
529	27428.27379
530	27424.44425
531	27421.19042
532	27418.61559
533	27415.64605
534	27412.49184
535	27410.02627
536	27406.41929
537	27402.8829
538	27400.60781
539	27396.2507
540	27392.76212
541	27389.38806
542	27387.47483
543	27385.15785
544	27380.78093
545	27378.89195
546	27374.8403
547	27372.68885
548	27369.347
549	27365.78832
550	27362.35671
551	27358.15567
552	27355.03214
553	27352.49867
554	27349.37307
555	27346.71031
556	27342.50563
557	27340.1113
558	27337.61361
559	27334.51117
560	27331.4348
561	27329.10259
562	27326.50451
563	27323.91128
564	27318.2829
565	27316.11621
566	27312.44117
567	27308.28126
568	27305.24783
569	27299.95637
570	27297.81703
571	27294.40727
572	27291.63491
573	27288.35116
574	27285.80085
575	27283.29645
576	27280.58718
577	27278.05865
578	27275.81154
579	27272.99808
580	27269.07559
581	27266.10676
582	27263.73637
583	27259.76938
584	27255.96798
585	27253.24118
586	27250.71462
587	27247.39395
588	27244.88468
589	27241.13207
590	27238.94803
591	27236.61917
592	27233.88737
593	27231.23453
594	27228.713
595	27226.21123
596	27222.91649
597	27221.01107
598	27217.73172
599	27215.57237
600	27211.56878
601	27209.68101
602	27207.25991
603	27204.16371
604	27201.6722
605	27199.23808
606	27196.22737
607	27193.22495
608	27191.43031
609	27188.18675
610	27184.82961
611	27182.43552
612	27179.23963
613	27177.45408
614	27174.05514
615	27172.24301
616	27168.00465
617	27166.03168
618	27163.50894
619	27161.24627
620	27159.11778
621	27156.68585
622	27153.66121
623	27150.42728
624	27148.06917
625	27144.71809
626	27141.52519
627	27137.53707
628	27134.44425
629	27131.94004
630	27128.43578
631	27124.78378
632	27123.03627
633	27121.10782
634	27118.72295
635	27115.37252
636	27112.20297
637	27109.49036
638	27105.23437
639	27101.21705
640	27097.2972
641	27094.61288
642	27092.6144
643	27090.19067
644	27088.08597
645	27086.24077
646	27083.59556
647	27080.92203
648	27079.20129
649	27077.05873
650	27074.92479
651	27071.87294
652	27069.35877
653	27066.76489
654	27064.28289
655	27061.2038
656	27058.65926
657	27054.6587
658	27052.20494
659	27049.56573
660	27046.50285
661	27044.57382
662	27042.55257
663	27039.59102
664	27037.10772
665	27033.61291
666	27031.34239
667	27029.35711
668	27027.01843
669	27024.46445
670	27021.45846
671	27018.78188
672	27016.47447
673	27013.63315
674	27011.16167
675	27008.02178
676	27005.56251
677	27001.61176
678	26998.94664
679	26996.12969
680	26994.4424
681	26991.95165
682	26989.72703
683	26987.33496
684	26983.31158
685	26980.77751
686	26977.10323
687	26974.50843
688	26972.57593
689	26969.6409
690	26967.31769
691	26964.28019
692	26961.16854
693	26958.00179
694	26956.30649
695	26954.90111
696	26952.28207
697	26949.36541
698	26946.45688
699	26944.32426
700	26941.49301
701	26938.71225
702	26936.38991
703	26934.13012
704	26931.05898
705	26928.90494
706	26926.30772
707	26923.87943
708	26921.89757
709	26919.89653
710	26917.78062
711	26914.73927
712	26909.52038
713	26906.46078
714	26904.40277
715	26899.19549
716	26896.13452
717	26893.12231
718	26890.92927
719	26888.6338
720	26885.11313
721	26882.98999
722	26879.84439
723	26876.96343
724	26873.34221
725	26870.83093
726	26868.80873
727	26867.25835
728	26864.86266
729	26861.80619
730	26859.26942
731	26856.76376
732	26853.95066
733	26850.92614
734	26849.23869
735	26846.48722
736	26843.71463
737	26840.77524
738	26838.03117
739	26836.09715
740	26830.4415
741	26828.4938
742	26825.54688
743	26823.44321
744	26821.03307
745	26817.99724
746	26816.30961
747	26813.91968
748	26811.20913
749	26808.29136
750	26804.51798
751	26802.28645
752	26798.96071
753	26794.91901
754	26791.92559
755	26790.24219
756	26787.79233
757	26785.27679
758	26782.96416
759	26780.20143
760	26778.11679
761	26776.44723
762	26772.82329
763	26770.09819
764	26768.11292
765	26766.11426
766	26763.14085
767	26760.86531
768	26757.63402
769	26754.19706
770	26751.54284
771	26749.57375
772	26747.66405
773	26745.36602
774	26742.89922
775	26740.43796
776	26738.53942
777	26735.66875
778	26731.95436
779	26730.00369
780	26727.86699
781	26726.17005
782	26724.3793
783	26722.51155
784	26720.67924
785	26718.04832
786	26716.60144
787	26714.81309
788	26712.05132
789	26709.61364
790	26707.15337
791	26704.4217
792	26701.73217
793	26698.84173
794	26696.51954
795	26693.44185
796	26691.71489
797	26688.76832
798	26686.89839
799	26684.14341
800	26682.1899
801	26680.52109
802	26677.09826
803	26674.17253
804	26671.93657
805	26669.04764
806	26666.62986
807	26662.94333
808	26661.59273
809	26659.21547
810	26656.96255
811	26654.04994
812	26652.02101
813	26649.72709
814	26647.68681
815	26644.96745
816	26642.53526
817	26639.67219
818	26637.57597
819	26635.72524
820	26632.98523
821	26630.9217
822	26628.69537
823	26625.9737
824	26624.18636
825	26622.92739
826	26620.50072
827	26617.02439
828	26614.12861
829	26610.84757
830	26608.03968
831	26606.29482
832	26603.99028
833	26602.39514
834	26598.90582
835	26596.92922
836	26594.78323
837	26592.5858
838	26588.9534
839	26588.34577
840	26586.04141
841	26585.6863
842	26583.19125
843	26580.22356
844	26578.00904
845	26575.9556
846	26573.43035
847	26571.30536
848	26568.42687
849	26566.05645
850	26562.49382
851	26560.59589
852	26557.72497
853	26557.20629
854	26553.61271
855	26551.84175
856	26549.9848
857	26548.18214
858	26546.3195
859	26544.65711
860	26542.3196
861	26539.47075
862	26537.56778
863	26534.24322
864	26531.44797
865	26529.29352
866	26527.97741
867	26525.2127
868	26522.78613
869	26521.42233
870	26518.90296
871	26516.35096
872	26513.79688
873	26512.05649
874	26508.40807
875	26506.21878
876	26503.35266
877	26500.06415
878	26497.40576
879	26494.68034
880	26491.46458
881	26488.81952
882	26486.09752
883	26483.97065
884	26481.31462
885	26479.07247
886	26476.72487
887	26474.26155
888	26473.70196
889	26473.34221
890	26471.22561
891	26469.09521
892	26466.75468
893	26464.56065
894	26461.91638
895	26460.53769
896	26458.00257
897	26456.3051
898	26452.93901
899	26450.41898
900	26448.01044
901	26445.2043
902	26443.64634
903	26440.79818
904	26438.15794
905	26436.01271
906	26433.50123
907	26431.35646
908	26429.01271
909	26426.30579
910	26424.06585
911	26421.68561
912	26420.29864
913	26418.32751
914	26416.39962
915	26414.66365
916	26412.1534
917	26410.48559
918	26408.80294
919	26405.98381
920	26403.78232
921	26401.65107
922	26399.49226
923	26397.8234
924	26396.28799
925	26393.35521
926	26391.40532
927	26389.37712
928	26387.52795
929	26385.5963
930	26381.63641
931	26379.92631
932	26377.73954
933	26375.89525
934	26373.79278
935	26371.66373
936	26369.51764
937	26366.12154
938	26363.92659
939	26361.62433
940	26359.67435
941	26358.15166
942	26355.47496
943	26353.29476
944	26351.01463
945	26348.73401
946	26347.38201
947	26345.35759
948	26343.30007
949	26340.24018
950	26338.15437
951	26335.87292
952	26334.19512
953	26331.78374
954	26328.42887
955	26326.25059
956	26323.95465
957	26322.04823
958	26319.27199
959	26317.15706
960	26315.00455
961	26313.08461
962	26312.38886
963	26310.64287
964	26308.56905
965	26304.94201
966	26303.06195
967	26301.24395
968	26299.05748
969	26295.86837
970	26294.05341
971	26291.97341
972	26288.65801
973	26286.46012
974	26284.16551
975	26283.5841
976	26281.11307
977	26278.9675
978	26275.8496
979	26273.68446
980	26271.78881
981	26270.13789
982	26268.64265
983	26268.06787
984	26265.31278
985	26262.57463
986	26261.11493
987	26258.31152
988	26256.47213
989	26255.07936
990	26251.96209
991	26249.71167
992	26249.225
993	26245.88367
994	26243.87919
995	26240.3162
996	26238.62552
997	26236.5539
998	26234.30849
999	26232.24618
1000	26230.30628
1001	26227.41423
1002	26224.82848
1003	26222.73081
1004	26220.88279
1005	26218.38008
1006	26216.08997
1007	26213.30638
1008	26210.88486
1009	26208.89487
1010	26206.82538
1011	26206.30119
1012	26203.59531
1013	26201.85666
1014	26199.22108
1015	26197.18452
1016	26194.71468
1017	26192.44523
1018	26190.39289
1019	26188.95203
1020	26187.54817
1021	26185.85243
1022	26183.43874
1023	26181.56898
1024	26179.46136
1025	26176.8008
1026	26175.22912
1027	26172.96064
1028	26172.42947
1029	26170.30679
1030	26167.96708
1031	26165.91711
1032	26164.27898
1033	26162.65317
1034	26160.91578
1035	26158.83186
1036	26157.3317
1037	26155.4732
1038	26153.4743
1039	26151.86348
1040	26148.64336
1041	26146.43949
1042	26143.21309
1043	26141.33717
1044	26140.8176
1045	26138.99544
1046	26136.62989
1047	26134.54014
1048	26131.95762
1049	26130.39499
1050	26128.02022
1051	26126.49319
1052	26123.83846
1053	26120.22414
1054	26118.84625
1055	26116.61756
1056	26111.72311
1057	26110.02347
1058	26107.62706
1059	26105.37345
1060	26103.59867
1061	26101.64866
1062	26099.48098
1063	26096.4764
1064	26094.89172
1065	26091.73478
1066	26089.95803
1067	26088.5507
1068	26085.2042
1069	26082.67986
1070	26080.02853
1071	26077.20463
1072	26076.97328
1073	26073.75506
1074	26071.96948
1075	26070.12879
1076	26068.22755
1077	26066.5178
1078	26063.54937
1079	26061.6162
1080	26058.40202
1081	26055.76461
1082	26053.6251
1083	26051.67783
1084	26049.51805
1085	26047.34637
1086	26045.41807
1087	26043.68934
1088	26041.69982
1089	26039.54611
1090	26038.0731
1091	26035.7205
1092	26033.7269
1093	26031.7583
1094	26030.31021
1095	26028.459
1096	26026.99806
1097	26024.7258
1098	26023.05401
1099	26019.94282
1100	26018.53894
1101	26016.36541
1102	26014.78269
1103	26013.06652
1104	26011.34964
1105	26009.96068
1106	26008.25336
1107	26006.2695
1108	26004.14862
1109	26002.42036
1110	26000.95971
1111	25999.08572
1112	25995.61057
1113	25993.23418
1114	25991.42636
1115	25989.55646
1116	25987.03589
1117	25983.76781
1118	25981.78732
1119	25979.80877
1120	25977.9575
1121	25975.84861
1122	25972.59201
1123	25970.17219
1124	25968.67484
1125	25967.75619
1126	25965.78225
1127	25965.27886
1128	25963.31289
1129	25961.34724
1130	25959.64769
1131	25957.17062
1132	25954.87719
1133	25953.39142
1134	25951.97415
1135	25950.64244
1136	25948.86741
1137	25947.00742
1138	25943.21307
1139	25941.05936
1140	25939.19412
1141	25938.69885
1142	25935.73741
1143	25934.33802
1144	25931.68448
1145	25929.78707
1146	25927.80589
1147	25925.88069
1148	25925.55274
1149	25923.74452
1150	25923.48451
1151	25923.00582
1152	25921.15067
1153	25919.7376
1154	25917.45802
1155	25915.93733
1156	25913.84502
1157	25911.96771
1158	25908.75487
1159	25906.76881
1160	25905.21653
1161	25903.68304
1162	25902.20198
1163	25900.03997
1164	25897.92361
1165	25896.24575
1166	25894.44252
1167	25893.94143
1168	25892.55851
1169	25890.6449
1170	25890.13399
1171	25887.37422
1172	25885.92419
1173	25883.09711
1174	25881.54781
1175	25879.5279
1176	25877.43924
1177	25875.83077
1178	25873.90258
1179	25870.81189
1180	25868.18
1181	25866.98931
1182	25864.87017
1183	25863.22413
1184	25861.44288
1185	25860.95159
1186	25858.80441
1187	25856.7068
1188	25854.30706
1189	25852.07524
1190	25850.36659
1191	25848.06462
1192	25844.53062
1193	25842.69051
1194	25840.2398
1195	25838.37699
1196	25836.42173
1197	25833.70252
1198	25831.15342
1199	25829.74425
1200	25827.95781
1201	25824.71652
1202	25822.17499
1203	25821.97451
1204	25820.41518
1205	25818.46225
1206	25816.94402
1207	25814.57281
1208	25812.87687
1209	25811.35917
1210	25809.58163
1211	25808.80936
1212	25806.96392
1213	25804.54735
1214	25804.02561
1215	25802.12528
1216	25800.90002
1217	25799.28647
1218	25797.31344
1219	25795.275
1220	25793.22518
1221	25791.49733
1222	25790.03588
1223	25788.53864
1224	25786.6955
1225	25785.05612
1226	25783.121
1227	25781.29862
1228	25778.92242
1229	25776.93338
1230	25775.39064
1231	25773.4956
1232	25771.65654
1233	25770.11661
1234	25767.84859
1235	25766.44267
1236	25764.25829
1237	25762.65147
1238	25761.51144
1239	25760.32379
1240	25759.04901
1241	25758.56192
1242	25756.95033
1243	25755.09845
1244	25752.89266
1245	25751.36051
1246	25749.26754
1247	25747.25609
1248	25745.54884
1249	25745.00018
1250	25743.09965
1251	25740.74306
1252	25738.99634
1253	25736.54992
1254	25734.60062
1255	25732.97862
1256	25730.98754
1257	25728.98685
1258	25727.50838
1259	25725.50916
1260	25723.63183
1261	25719.12412
1262	25718.78352
1263	25718.5804
1264	25717.2093
1265	25714.9353
1266	25712.28435
1267	25709.14684
1268	25708.89129
1269	25708.39159
1270	25704.81988
1271	25703.14382
1272	25701.11504
1273	25699.8816
1274	25697.0522
1275	25695.48745
1276	25693.19068
1277	25691.52148
1278	25689.50224
1279	25689.06797
1280	25686.94799
1281	25684.9596
1282	25683.68105
1283	25680.58513
1284	25678.77719
1285	25677.46447
1286	25676.22531
1287	25673.85966
1288	25671.86684
1289	25670.16512
1290	25669.96685
1291	25668.52305
1292	25667.00951
1293	25666.56984
1294	25664.54665
1295	25662.29168
1296	25661.81351
1297	25659.37995
1298	25657.31603
1299	25655.14805
1300	25653.04686
1301	25652.68336
1302	25651.2167
1303	25649.06681
1304	25647.35442
1305	25645.32689
1306	25643.33156
1307	25641.69408
1308	25639.69061
1309	25639.16214
1310	25637.15328
1311	25636.62346
1312	25634.37748
1313	25632.99227
1314	25630.99835
1315	25629.33239
1316	25627.4168
1317	25627.08453
1318	25624.99684
1319	25623.20378
1320	25621.36802
1321	25619.88952
1322	25619.59697
1323	25617.99263
1324	25616.69444
1325	25615.23695
1326	25613.47402
1327	25611.45693
1328	25610.15278
1329	25608.09349
1330	25606.05289
1331	25605.26765
1332	25602.52432
1333	25599.62703
1334	25598.11384
1335	25596.13445
1336	25594.85746
1337	25592.91212
1338	25591.11745
1339	25588.83255
1340	25587.21967
1341	25585.51078
1342	25583.53794
1343	25581.60106
1344	25579.47159
1345	25577.63224
1346	25575.2589
1347	25573.46918
1348	25571.32777
1349	25569.13897
1350	25568.87827
1351	25568.18884
1352	25566.57223
1353	25566.08077
1354	25563.70124
1355	25561.932
1356	25560.49992
1357	25559.03565
1358	25556.41209
1359	25555.27572
1360	25554.7985
1361	25554.24943
1362	25554.00006
1363	25552.04622
1364	25550.4936
1365	25548.59581
1366	25546.40741
1367	25544.52834
1368	25543.43259
1369	25543.06743
1370	25540.54364
1371	25537.38198
1372	25536.89751
1373	25535.05841
1374	25533.20271
1375	25530.22603
1376	25529.97581
1377	25528.712
1378	25526.89617
1379	25524.78144
1380	25523.29208
1381	25522.25401
1382	25519.18149
1383	25518.11543
1384	25515.53511
1385	25513.73049
1386	25510.7204
1387	25510.10684
1388	25508.2128
1389	25506.4098
1390	25504.16054
1391	25503.88795
1392	25502.07996
1393	25501.50221
1394	25500.03861
1395	25498.53439
1396	25497.1553
1397	25496.72681
1398	25495.01577
1399	25493.01156
1400	25492.46884
1401	25489.68901
1402	25488.40243
1403	25487.04788
1404	25485.65314
1405	25483.75472
1406	25482.03935
1407	25479.95568
1408	25478.49604
1409	25476.36034
1410	25474.34864
1411	25473.88033
1412	25472.12014
1413	25470.20192
1414	25468.29288
1415	25467.03413
1416	25464.70636
1417	25464.23816
1418	25462.35849
1419	25460.29752
1420	25459.8818
1421	25457.66581
1422	25455.93024
1423	25454.13684
1424	25452.50125
1425	25451.00393
1426	25450.53512
1427	25449.0285
1428	25447.25695
1429	25445.9952
1430	25444.69082
1431	25442.9703
1432	25442.50376
1433	25442.04116
1434	25439.39022
1435	25437.05232
1436	25435.43453
1437	25433.58275
1438	25432.33964
1439	25430.55398
1440	25428.75009
1441	25426.98116
1442	25425.79517
1443	25424.03731
1444	25422.56479
1445	25421.15779
1446	25419.39502
1447	25418.92168
1448	25417.76049
1449	25417.37789
1450	25415.44986
1451	25413.81824
1452	25413.51412
1453	25411.47333
1454	25411.11488
1455	25410.81116
1456	25410.29573
1457	25408.79591
1458	25405.55681
1459	25404.07684
1460	25401.31456
1461	25399.52754
1462	25399.2745
1463	25396.54332
1464	25394.56655
1465	25393.25972
1466	25392.8651
1467	25391.02906
1468	25389.6171
1469	25388.01909
1470	25385.33098
1471	25383.9139
1472	25382.67467
1473	25382.09444
1474	25381.62896
1475	25381.1687
1476	25379.13516
1477	25378.67104
1478	25378.12796
1479	25375.99211
1480	25372.80555
1481	25371.64004
1482	25370.13112
1483	25368.41886
1484	25366.61093
1485	25364.79746
1486	25364.33971
1487	25363.88864
1488	25363.50235
1489	25363.03745
1490	25361.33796
1491	25359.57559
1492	25359.09677
1493	25357.22262
1494	25355.98534
1495	25354.39543
1496	25352.50232
1497	25351.22078
1498	25349.33122
1499	25347.67794
1500	25345.89376
1501	25345.11176
1502	25343.37482
1503	25341.53051
1504	25340.84149
1505	25338.97227
1506	25337.30472
1507	25335.45797
1508	25332.61536
1509	25332.25976
1510	25330.99692
1511	25328.84289
1512	25327.43813
1513	25326.18288
1514	25324.80088
1515	25323.3307
1516	25320.87886
1517	25318.72142
1518	25317.2843
1519	25315.93292
1520	25314.28319
1521	25312.39881
1522	25312.11196
1523	25311.52228
1524	25309.7696
1525	25308.41147
1526	25306.32357
1527	25304.49145
1528	25303.59812
1529	25301.44357
1530	25299.83244
1531	25298.43287
1532	25297.97128
1533	25296.10664
1534	25295.6491
1535	25294.46325
1536	25292.33305
1537	25290.59169
1538	25288.97885
1539	25287.28233
1540	25286.35493
1541	25285.35741
1542	25283.79565
1543	25283.3282
1544	25281.67798
1545	25280.21564
1546	25278.17895
1547	25276.70301
1548	25276.1139
1549	25274.40681
1550	25272.53968
1551	25270.67675
1552	25268.97428
1553	25267.52456
1554	25265.80941
1555	25264.029
1556	25262.1879
1557	25260.71842
1558	25258.93056
1559	25257.55235
1560	25255.76607
1561	25254.24251
1562	25251.69535
1563	25250.39269
1564	25248.77005
1565	25248.31299
1566	25246.53032
1567	25243.08829
1568	25241.55623
1569	25240.14812
1570	25238.49269
1571	25237.37962
1572	25236.91988
1573	25233.66667
1574	25233.42537
1575	25231.87602
1576	25230.24644
1577	25228.83178
1578	25227.16273
1579	25225.54289
1580	25224.10896
1581	25222.13452
1582	25220.89652
1583	25218.96675
1584	25217.55469
1585	25216.24357
1586	25214.31915
1587	25212.25552
1588	25211.5665
1589	25209.88013
1590	25207.67213
1591	25207.18366
1592	25205.74578
1593	25204.08459
1594	25202.42584
1595	25201.11437
1596	25199.27115
1597	25198.81788
1598	25198.12651
1599	25196.44859
1600	25194.58923
1601	25194.37876
1602	25192.77511
1603	25191.41593
1604	25189.7258
1605	25189.29655
1606	25188.84436
1607	25185.26732
1608	25183.72571
1609	25182.39287
1610	25181.50874
1611	25180.04061
1612	25177.57648
1613	25175.62895
1614	25173.57923
1615	25172.10904
1616	25170.40929
1617	25168.95975
1618	25168.61578
1619	25166.93064
1620	25165.25709
1621	25164.57206
1622	25164.21114
1623	25163.05533
1624	25160.36397
1625	25160.12058
1626	25158.9325
1627	25157.0806
1628	25155.93257
1629	25153.88775
1630	25152.3943
1631	25151.91494
1632	25150.53237
1633	25150.15218
1634	25147.90873
1635	25147.56847
1636	25145.93943
1637	25145.57436
1638	25145.38706
1639	25142.92985
1640	25141.57383
1641	25139.90047
1642	25138.92694
1643	25136.88701
1644	25134.69245
1645	25132.94424
1646	25131.37781
1647	25129.41007
1648	25128.88518
1649	25128.57679
1650	25126.78345
1651	25125.05066
1652	25123.80265
1653	25123.33564
1654	25121.84403
1655	25121.48895
1656	25121.05803
1657	25118.83174
1658	25117.45521
1659	25116.09723
1660	25115.7021
1661	25113.48416
1662	25111.5726
1663	25111.31104
1664	25109.80372
1665	25109.35905
